iter	Passed	Remaining
333	1420	705
334	1422	700
335	1428	697
336	1431	692
337	1434	687
338	1437	682
339	1441	678
340	1444	673
341	1447	668
342	1450	664
343	1453	659
344	1456	654
345	1459	649
346	1462	644
347	1465	639
348	1467	635
349	1470	630
350	1473	625
351	1476	620
352	1479	616
353	1482	611
354	1485	606
355	1488	602
356	1491	597
357	1494	592
358	1497	588
359	1500	583
360	1503	578
361	1506	574
362	1509	569
363	1512	564
364	1514	560
365	1519	556
366	1522	551
367	1525	547
368	1528	542
369	1532	538
370	1536	534
371	1539	529
372	1541	525
373	1544	520
374	1550	516
375	1553	512
376	1556	507
377	1558	503
378	1563	499
379	1568	495
380	1572	491
381	1578	487
382	1581	483
383	1585	478
384	1587	474
385	1591	470
386	1595	465
387	1598	461
388	1601	456
389	1606	453
390	1610	448
391	1613	444
392	1615	439
393	1619	435
394	1624	431
395	1627	427
396	1632	423
397	1636	419
398	1639	415
399	1642	410
400	1646	406
401	1649	402
402	1655	398
403	1658	394
404	1662	389
405	1665	385
406	1668	381
407	1673	377
408	1676	373
409	1679	368
410	1682	364
411	1690	360
412	1694	356
413	1711	355
414	1716	351
415	1721	347
416	1728	344
417	1735	340
418	1738	336
419	1743	332
420	1753	329
421	1760	325
422	1767	321
423	1776	318
424	1782	314
425	1785	310
426	1790	306
427	1795	302
428	1799	297
429	1803	293
430	1810	289
431	1817	286
432	1822	282
433	1826	277
434	1831	273
435	1836	269
436	1840	265
437	1843	260
438	1846	256
439	1849	252
440	1853	247
441	1857	243
442	1860	239
443	1863	235
444	1866	230
445	1870	226
446	1873	222
447	1876	217
448	1881	213
449	1885	209
450	1888	205
451	1891	200
452	1896	196
453	1899	192
454	1903	188
455	1905	183
456	1908	179
457	1913	175
458	1916	171
459	1919	166
460	1922	162
461	1926	158
462	1931	154
463	1935	150
464	1938	145
465	1943	141
466	1946	137
467	1951	133
468	1953	129
469	1959	125
470	1964	120
471	1966	116
472	1969	112
473	1974	108
474	1977	104
475	1981	99
476	1983	95
477	1986	91
478	1991	87
479	1994	83
480	1998	78
481	2002	74
482	2010	70
483	2014	66
484	2043	63
485	2064	59
486	2070	55
487	2076	51
488	2083	46
489	2098	42
490	2108	38
491	2141	34
492	2153	30
493	2176	26
494	2179	22
495	2181	17
496	2187	13
497	2190	8
498	2195	4
499	2198	0
