iter	RMSE
125	0.7026413221
126	0.7019579361
127	0.7009532559
128	0.7000656765
129	0.6989182128
130	0.6982151644
131	0.6970546882
132	0.6957275906
133	0.694716589
134	0.6941198078
135	0.6930066914
136	0.6928487528
137	0.6913072853
138	0.6901842496
139	0.689279447
140	0.6882038589
141	0.6869487827
142	0.6858792612
143	0.6849760049
144	0.6842032019
145	0.6832401702
146	0.6823250815
147	0.6811298165
148	0.6801576605
149	0.6797783538
150	0.6788205638
151	0.6780945232
152	0.6773527266
153	0.6764597308
154	0.675647012
155	0.6744330094
156	0.6733123521
157	0.6723052273
158	0.6711081269
159	0.6699369167
160	0.6689224285
161	0.6678159345
162	0.6674091229
163	0.6666202455
164	0.6660031272
165	0.6652668145
166	0.6641967446
167	0.6633940419
168	0.6627495267
169	0.6621084541
170	0.6607886926
171	0.6600142506
172	0.6590842988
173	0.6582938967
174	0.6575344844
175	0.6568000097
176	0.6556967774
177	0.6553092413
178	0.6544350444
179	0.653824483
180	0.6525950614
181	0.6520458722
182	0.6512720375
183	0.6507094339
184	0.6498468544
185	0.6490459687
186	0.6478726087
187	0.6472510658
188	0.6463564389
189	0.6455438317
190	0.6448591621
191	0.6442405398
192	0.6432584953
193	0.6425605233
194	0.6416294821
195	0.6405629875
196	0.6400724093
197	0.6395171075
198	0.6387506587
199	0.6380370108
200	0.6375115457
201	0.6367678659
202	0.6361736425
203	0.6352612262
204	0.6343598185
205	0.6334778074
206	0.6324743302
207	0.6318058258
208	0.631389511
209	0.6304713725
210	0.6296025734
211	0.6285348481
212	0.6275769356
213	0.626346183
214	0.6252725676
215	0.6244729567
216	0.6237178694
217	0.6230193232
218	0.6221885719
219	0.6214651032
220	0.6210458427
221	0.6204562529
222	0.6196331686
223	0.6190057942
224	0.6179314244
225	0.617351079
226	0.6166118608
227	0.6160287322
228	0.6156815096
229	0.6146408673
230	0.6139536769
231	0.613264363
232	0.612564329
233	0.612160234
234	0.6114439043
235	0.6103913913
236	0.6098676641
237	0.6094281631
238	0.6085771127
239	0.6079164183
240	0.6072032291
241	0.6063994995
242	0.6057189429
243	0.6051819966
244	0.6043635766
245	0.6038803465
246	0.6032138129
247	0.6024398813
248	0.6015525911
249	0.6007813809
250	0.6001838088
251	0.5997437336
252	0.5988413325
253	0.598040474
254	0.5972519303
255	0.5970415197
256	0.5958388264
257	0.5953298947
258	0.594396032
259	0.5937692262
260	0.5930296088
261	0.5921832431
262	0.5913385066
263	0.5904120477
264	0.5897460506
265	0.5889794504
266	0.5880685082
267	0.5875599575
268	0.5870121416
269	0.5861065181
270	0.5853773613
271	0.5847280922
272	0.5838202258
273	0.5830150559
274	0.5824322515
275	0.5819305293
276	0.5813170808
277	0.5806480954
278	0.5797165533
279	0.5786726727
280	0.5778027609
281	0.5771157218
282	0.5764814082
283	0.5758312289
284	0.5749858243
285	0.5744574035
286	0.5737765803
287	0.5731519267
288	0.5724122299
289	0.5718790049
290	0.5708902009
291	0.5702724626
292	0.5695501825
293	0.5689587148
294	0.5683423747
295	0.5678533549
296	0.5668167615
297	0.5660372126
298	0.565324508
299	0.5644888854
300	0.5637019643
301	0.563239586
302	0.5626276605
303	0.5617221059
304	0.5612921646
305	0.5605626764
306	0.5601072223
307	0.5596075437
308	0.5591209265
309	0.5584060791
310	0.5579610251
311	0.5575175631
312	0.5571064225
313	0.5565959795
314	0.5559965719
315	0.5553589958
316	0.5547127223
317	0.5540769649
318	0.5532577716
319	0.5528470825
320	0.5523159274
321	0.5518398219
322	0.5510675916
323	0.5503169901
324	0.5496871978
325	0.5492301577
326	0.5485436172
327	0.5480673479
328	0.5474692649
329	0.5471902022
330	0.5469768761
331	0.5465867577
332	0.5460827607
333	0.5455375552
334	0.544974422
335	0.5445008129
336	0.5440051651
337	0.5434595734
338	0.5426802487
339	0.5420885577
340	0.5412741728
341	0.5410098413
342	0.5404278267
343	0.5400344806
344	0.5394079593
345	0.5387438123
346	0.538004042
347	0.5374181928
348	0.5365993143
349	0.5360079284
350	0.5353491079
351	0.5345837653
352	0.5341145236
353	0.533526974
354	0.5331774863
355	0.5326797967
356	0.5320168132
357	0.531665318
358	0.5311226436
359	0.5305754533
360	0.5299276111
361	0.5294829679
362	0.5286012101
363	0.5282448215
364	0.5276104614
365	0.527198565
366	0.5267232718
367	0.5260823607
368	0.5256662547
369	0.5251407674
370	0.5245134497
371	0.5244451742
372	0.5239855014
373	0.5233699731
374	0.5229386602
375	0.5225059318
376	0.5219348309
377	0.5215248489
378	0.5207606587
379	0.5203580819
380	0.5196866947
381	0.5191451056
382	0.5186450387
383	0.5179199501
384	0.5173864768
385	0.516865567
386	0.5165144138
387	0.5162012231
388	0.5154700635
389	0.515207506
390	0.5149011858
391	0.5146926165
392	0.5142743765
393	0.5139066128
394	0.5133280566
395	0.5130440048
396	0.5126453001
397	0.5118690033
398	0.511503625
399	0.5110612205
400	0.510308232
401	0.5096698705
402	0.5090552265
403	0.5087753733
404	0.5080986217
405	0.5075588759
406	0.5069766367
407	0.5063423955
408	0.5059357327
409	0.5053766482
410	0.5050433217
411	0.5044662454
412	0.5041208603
413	0.503677772
414	0.5032292443
415	0.5027726668
416	0.5022565076
417	0.5015868234
418	0.5012228317
419	0.5007539447
420	0.5001576793
421	0.4998324031
422	0.499153597
423	0.4988579843
424	0.4983639125
425	0.4979355624
426	0.4976669976
427	0.497219662
428	0.4967033263
429	0.4963213589
430	0.4961659038
431	0.4954800815
432	0.4948891746
433	0.4944791914
434	0.4940397514
435	0.4936218383
436	0.4930821957
437	0.4925603127
438	0.492176717
439	0.4916597604
440	0.4911391125
441	0.4908330541
442	0.4903431639
443	0.4900590188
444	0.4893931501
445	0.4890337192
446	0.4885525484
447	0.4882014887
448	0.4881013463
449	0.4876033156
450	0.4872060123
451	0.4869366291
452	0.4862227366
453	0.4857578634
454	0.485665197
455	0.4853901434
456	0.485019183
457	0.4846715055
458	0.4843406724
459	0.4836659451
460	0.4835786658
461	0.4832926103
462	0.4828920348
463	0.4823922991
464	0.4819433303
465	0.4816269773
466	0.4813876917
467	0.4810640692
468	0.48089559
469	0.4805584098
470	0.4801605899
471	0.4795002996
472	0.4794428361
473	0.4790607419
474	0.4785491512
475	0.4782201098
476	0.4775092757
477	0.4769926911
478	0.4765186701
479	0.4761671708
480	0.4759286815
481	0.4755657029
482	0.4751252097
483	0.4747344673
484	0.4745278038
485	0.4740478652
486	0.4738558858
487	0.4731847104
488	0.4729105688
489	0.4724669093
490	0.4722079587
491	0.4717616603
492	0.4717227687
493	0.4715863571
494	0.4714526577
495	0.4712184431
496	0.4706311552
497	0.4703027061
498	0.4700579597
499	0.4699274553
